date_id,day,month,year,quarter,day_of_week,week_number,is_weekend,is_holiday
20190112,12,1,2019,1,Saturday,2,1,0
20190111,11,1,2019,1,Friday,2,0,0
20190110,10,1,2019,1,Thursday,2,0,0
20190109,9,1,2019,1,Wednesday,2,0,0
20190108,8,1,2019,1,Tuesday,2,0,0
20190107,7,1,2019,1,Monday,2,0,0
20190106,6,1,2019,1,Sunday,1,1,0
20190105,5,1,2019,1,Saturday,1,1,0
20190104,4,1,2019,1,Friday,1,0,0
20190103,3,1,2019,1,Thursday,1,0,0
20190102,2,1,2019,1,Wednesday,1,0,0
20190101,1,1,2019,1,Tuesday,1,0,0
20181231,31,12,2018,4,Monday,1,0,0
20181230,30,12,2018,4,Sunday,52,1,0
20181229,29,12,2018,4,Saturday,52,1,0
20181228,28,12,2018,4,Friday,52,0,0
20181227,27,12,2018,4,Thursday,52,0,0
20181226,26,12,2018,4,Wednesday,52,0,0
20181225,25,12,2018,4,Tuesday,52,0,0
20181224,24,12,2018,4,Monday,52,0,0
20181223,23,12,2018,4,Sunday,51,1,0
20181222,22,12,2018,4,Saturday,51,1,0
20181221,21,12,2018,4,Friday,51,0,0
20181220,20,12,2018,4,Thursday,51,0,0
20181219,19,12,2018,4,Wednesday,51,0,0
20181218,18,12,2018,4,Tuesday,51,0,0
20181217,17,12,2018,4,Monday,51,0,0
20181216,16,12,2018,4,Sunday,50,1,0
20181215,15,12,2018,4,Saturday,50,1,0
20181214,14,12,2018,4,Friday,50,0,0
20181213,13,12,2018,4,Thursday,50,0,0
20181212,12,12,2018,4,Wednesday,50,0,0
20181211,11,12,2018,4,Tuesday,50,0,0
20181210,10,12,2018,4,Monday,50,0,0
20181209,9,12,2018,4,Sunday,49,1,0
20181208,8,12,2018,4,Saturday,49,1,0
20181207,7,12,2018,4,Friday,49,0,0
20181206,6,12,2018,4,Thursday,49,0,0
20181205,5,12,2018,4,Wednesday,49,0,0
20181204,4,12,2018,4,Tuesday,49,0,0
20181203,3,12,2018,4,Monday,49,0,0
20181202,2,12,2018,4,Sunday,48,1,0
20181201,1,12,2018,4,Saturday,48,1,0
20181130,30,11,2018,4,Friday,48,0,0
20181129,29,11,2018,4,Thursday,48,0,0
20181128,28,11,2018,4,Wednesday,48,0,0
20181127,27,11,2018,4,Tuesday,48,0,0
20181126,26,11,2018,4,Monday,48,0,0
20181125,25,11,2018,4,Sunday,47,1,0
20181124,24,11,2018,4,Saturday,47,1,0
20181123,23,11,2018,4,Friday,47,0,0
20181122,22,11,2018,4,Thursday,47,0,0
20181121,21,11,2018,4,Wednesday,47,0,0
20181120,20,11,2018,4,Tuesday,47,0,0
20181119,19,11,2018,4,Monday,47,0,0
20181118,18,11,2018,4,Sunday,46,1,0
20181117,17,11,2018,4,Saturday,46,1,0
20181116,16,11,2018,4,Friday,46,0,0
20181115,15,11,2018,4,Thursday,46,0,0
20181114,14,11,2018,4,Wednesday,46,0,0
20181113,13,11,2018,4,Tuesday,46,0,0
20181112,12,11,2018,4,Monday,46,0,0
20181111,11,11,2018,4,Sunday,45,1,0
20181110,10,11,2018,4,Saturday,45,1,0
20181109,9,11,2018,4,Friday,45,0,0
20181108,8,11,2018,4,Thursday,45,0,0
20181107,7,11,2018,4,Wednesday,45,0,0
20181106,6,11,2018,4,Tuesday,45,0,0
20181105,5,11,2018,4,Monday,45,0,0
20181104,4,11,2018,4,Sunday,44,1,0
20181103,3,11,2018,4,Saturday,44,1,0
20181102,2,11,2018,4,Friday,44,0,0
20181101,1,11,2018,4,Thursday,44,0,0
20181031,31,10,2018,4,Wednesday,44,0,0
20181030,30,10,2018,4,Tuesday,44,0,0
20181029,29,10,2018,4,Monday,44,0,0
20181028,28,10,2018,4,Sunday,43,1,0
20181027,27,10,2018,4,Saturday,43,1,0
20181026,26,10,2018,4,Friday,43,0,0
20181025,25,10,2018,4,Thursday,43,0,0
20181024,24,10,2018,4,Wednesday,43,0,0
20181023,23,10,2018,4,Tuesday,43,0,0
20181022,22,10,2018,4,Monday,43,0,0
20181021,21,10,2018,4,Sunday,42,1,0
20181020,20,10,2018,4,Saturday,42,1,0
20181019,19,10,2018,4,Friday,42,0,0
20181018,18,10,2018,4,Thursday,42,0,0
20181017,17,10,2018,4,Wednesday,42,0,0
20181016,16,10,2018,4,Tuesday,42,0,0
20181015,15,10,2018,4,Monday,42,0,0
20181014,14,10,2018,4,Sunday,41,1,0
