beat_id,street_name,street_number,area_risk_level
1112.0,CENTRAL PARK AVE,734,High
1623.0,LARAMIE AVE,4432,High
822.0,LAWNDALE AVE,5600,High
1131.0,JACKSON BLVD,4633,High
1722.0,MONTROSE AVE,4438,Medium
422.0,EXCHANGE AVE,8140,Low
334.0,YATES BLVD,7201,Medium
412.0,STONY ISLAND AVE,8700,High
2223.0,95TH ST,525,High
1712.0,FOSTER AVE,4229,High
1621.0,DEVON AVE,5521,High
815.0,PULASKI RD,4400,High
1622.0,BRYN MAWR AVE,6229,High
1034.0,CERMAK RD,2617,High
1223.0,MADISON ST,2323,Medium
1023.0,15TH PL,2750,Medium
2523.0,WELLINGTON AVE,3802,Medium
813.0,63RD ST,4100,High
1932.0,ASHLAND AVE,2901,Medium
2532.0,LARAMIE AVE,1206,Medium
1724.0,CALIFORNIA AVE,4099,Medium
2512.0,GRAND AVE,6700,High
1121.0,HOMAN AVE,742,Medium
312.0,63RD ST,1,High
1231.0,JACKSON BLVD,1700,High
921.0,ARCHER AVE,4040,Medium
1222.0,WARREN BLVD,3159,High
1813.0,HALSTED ST,1959,Low
1033.0,KEDZIE AVE,2829,Medium
633.0,90TH ST,501,Low
332.0,STONY ISLAND AVE,6972,High
726.0,MARQUETTE RD,2001,Low
133.0,STATE ST,2939,Medium
532.0,BISHOP FORD EXPY IB,11500,Medium
1922.0,ASHLAND AVE,3441,Medium
1822.0,CLYBOURN AVE,1507,Medium
1723.0,WILSON AVE,3641,Medium
2521.0,DIVERSEY AVE,4700,High
725.0,LOOMIS BLVD,6800,Medium
2411.0,CALIFORNIA AVE,7150,High
114.0,LOWER WACKER DR,303,High
631.0,83RD ST,458,Low
2514.0,CENTRAL AVE,2611,Medium
1135.0,WESTERN AVE,1108,Medium
724.0,ABERDEEN ST,6400,Medium
713.0,BISHOP ST,5900,High
2432.0,SHERIDAN RD,6400,Medium
1434.0,WABANSIA AVE,2558,Medium
2423.0,SHERIDAN RD,7005,Low
1022.0,16TH ST,3200,Medium
1235.0,HALSTED ST,2030,High
1421.0,NORTH AVE,2800,Medium
124.0,DESPLAINES ST,1100,High
1413.0,FULLERTON AVE,3320,Low
122.0,LA SALLE ST,123,High
1533.0,LAVERGNE AVE,350,High
731.0,LAFAYETTE AVE,7100,High
832.0,WESTERN AVE,6901,High
331.0,MIDWAY PLAISANCE,1638,High
612.0,MORGAN ST,7600,Medium
734.0,RACINE AVE,7100,Medium
1921.0,WESTERN AVE,3700,Medium
1224.0,OGDEN AVE,1650,High
1632.0,IRVING PARK RD,6441,Medium
2213.0,98TH ST,1235,Medium
1221.0,SACRAMENTO BLVD,733,High
623.0,76TH ST,340,High
1733.0,ELSTON AVE,3546,High
2221.0,ASHLAND AVE,8700,Medium
911.0,WESTERN AVE,3508,High
1122.0,HAMLIN BLVD,133,High
632.0,INDIANA AVE,8714,High
811.0,NOTTINGHAM AVE,5358,High
413.0,STONY ISLAND AVE,9300,High
1614.0,EAST RIVER RD,5421,Medium
1133.0,ST LOUIS AVE,734,High
722.0,63RD ST,251,Medium
2013.0,BROADWAY,5310,Medium
1232.0,UNION AVE,1200,High
2533.0,CORTLAND ST,4400,High
1011.0,13TH ST,3801,High
1212.0,CHICAGO AVE,2398,Low
523.0,STATE ST,12520,Medium
2534.0,NORTH AVE,4355,High
322.0,71ST ST,330,High
1811.0,FULLERTON AVE,1755,Medium
1432.0,WESTERN AVE,2851,High
2412.0,DEVON AVE,2750,Medium
1831.0,CLARK ST,342,High
931.0,ASHLAND AVE,4900,Low
2032.0,ASHLAND AVE,4847,Low
1013.0,PULASKI RD,2301,Medium
423.0,KINGSTON AVE,8639,Medium
2031.0,WESTERN AVE,5159,Low
1225.0,JACKSON BLVD,1901,High
432.0,AVENUE M,10001,Medium
1935.0,SHEFFIELD AVE,2743,Medium
924.0,ASHLAND AVE,3964,Medium
1933.0,SHEFFIELD AVE,2810,Low
614.0,ASHLAND AVE,8100,Medium
2222.0,RACINE AVE,8700,Medium
914.0,CERMAK RD,300,Medium
224.0,47TH ST,17,Medium
2413.0,SEELEY AVE,6112,High
1934.0,SHERIDAN RD,2970,Medium
1424.0,CLAREMONT AVE,1350,Medium
1834.0,LAKE SHORE DR,505,High
1731.0,PULASKI RD,3558,Medium
211.0,STATE ST,3100,Medium
414.0,JEFFERY BLVD,8230,Medium
1233.0,DAMEN AVE,1232,High
434.0,103RD ST,2255,High
2232.0,HALSTED ST,9901,Medium
935.0,47TH ST,305,Medium
112.0,DEARBORN ST,35,Medium
823.0,62ND ST,3832,High
831.0,CALIFORNIA AVE,6727,Medium
1031.0,31ST ST,4011,Medium
1123.0,CENTRAL PARK DR,101,High
233.0,RUSSELL DR,5700,Medium
922.0,45TH ST,2801,High
113.0,DEARBORN ST,433,Low
1113.0,LAKE ST,4758,High
834.0,KEELER AVE,8023,High
123.0,MICHIGAN AVE,500,High
1433.0,ASHLAND AVE,1900,High
1651.0,OHARE ST,10000,Low
111.0,LOWER WACKER DR,77,High
833.0,PULASKI RD,7859,High
1633.0,WAVELAND AVE,5903,Medium
2022.0,KENMORE AVE,5829,Low
1523.0,LOREL AVE,330,Low
1234.0,18TH ST,1800,Medium
1913.0,LAWRENCE AVE,1217,Low
2211.0,SPRINGFIELD AVE,10700,Medium
1832.0,CHICAGO AVE,65,Medium
1611.0,CHASE AVE,7222,Medium
132.0,LAKE SHORE DR E,1300,High
824.0,MAPLEWOOD AVE,5649,Medium
1925.0,BROADWAY,3401,High
923.0,KEDZIE AVE,5251,Medium
1111.0,PULASKI RD,400,High
1711.0,GLENLAKE AVE,3400,High
1631.0,BELMONT AVE,7558,Medium
2023.0,BROADWAY,5427,Low
913.0,ASHLAND AVE,2805,Medium
915.0,WENTWORTH AVE,3500,Medium
513.0,COTTAGE GROVE AVE,10909,Medium
131.0,STATE ST,1200,High
1132.0,HARRISON ST,4000,High
