young_count,old_count,beat_id_full,weather_condition_full,quarter_full,ratio_young_old_FINAL
35,491,111,CLEAR,1,0.07128309572301425
12,350,112,CLEAR,1,3.4285714285714287E-2
9,295,113,CLEAR,1,3.0508474576271188E-2
51,1011,114,CLEAR,1,5.0445103857566766E-2
14,604,121,CLEAR,1,2.3178807947019868E-2
61,1224,122,CLEAR,1,4.9836601307189546E-2
22,619,123,CLEAR,1,3.5541195476575124E-2
37,522,124,CLEAR,1,7.0881226053639848E-2
34,566,131,CLEAR,1,6.0070671378091869E-2
27,501,132,CLEAR,1,5.3892215568862277E-2
19,219,133,CLEAR,1,8.6757990867579904E-2
17,206,211,CLEAR,1,8.2524271844660199E-2
13,164,212,CLEAR,1,0.07926829268292683
15,170,213,CLEAR,1,8.8235294117647065E-2
4,65,214,CLEAR,1,6.1538461538461542E-2
24,167,215,CLEAR,1,0.1437125748502994
5,86,221,CLEAR,1,5.8139534883720929E-2
10,238,222,CLEAR,1,4.2016806722689079E-2
10,134,223,CLEAR,1,7.4626865671641784E-2
10,153,224,CLEAR,1,0.06535947712418301
21,209,225,CLEAR,1,0.10047846889952153
14,87,231,CLEAR,1,0.16091954022988506
10,98,232,CLEAR,1,0.10204081632653061
24,181,233,CLEAR,1,0.13259668508287292
17,278,234,CLEAR,1,6.1151079136690649E-2
4,202,235,CLEAR,1,1.9801980198019802E-2
16,147,311,CLEAR,1,0.10884353741496598
30,317,312,CLEAR,1,9.4637223974763401E-2
5,160,313,CLEAR,1,0.03125
18,131,314,CLEAR,1,0.13740458015267176
32,380,321,CLEAR,1,8.4210526315789472E-2
32,331,322,CLEAR,1,9.6676737160120846E-2
35,464,323,CLEAR,1,7.5431034482758619E-2
28,325,324,CLEAR,1,0.08615384615384615
61,640,331,CLEAR,1,9.5312499999999994E-2
33,293,332,CLEAR,1,0.11262798634812286
15,214,333,CLEAR,1,7.0093457943925228E-2
21,231,334,CLEAR,1,9.0909090909090912E-2
36,440,411,CLEAR,1,8.1818181818181818E-2
57,395,412,CLEAR,1,0.14430379746835442
24,361,413,CLEAR,1,6.6481994459833799E-2
20,250,414,CLEAR,1,8.0000000000000002E-2
9,171,421,CLEAR,1,5.2631578947368418E-2
2,72,422,CLEAR,1,2.7777777777777776E-2
21,182,423,CLEAR,1,0.11538461538461539
10,99,424,CLEAR,1,0.10101010101010101
18,300,431,CLEAR,1,5.9999999999999998E-2
26,214,432,CLEAR,1,0.12149532710280374
20,134,433,CLEAR,1,0.14925373134328357
12,170,434,CLEAR,1,7.0588235294117646E-2
38,426,511,CLEAR,1,8.9201877934272297E-2
19,170,512,CLEAR,1,0.11176470588235295
11,192,513,CLEAR,1,5.7291666666666664E-2
5,80,522,CLEAR,1,0.0625
16,125,523,CLEAR,1,0.128
16,161,524,CLEAR,1,9.9378881987577633E-2
9,164,531,CLEAR,1,5.4878048780487805E-2
10,123,532,CLEAR,1,8.1300813008130079E-2
13,96,533,CLEAR,1,0.13541666666666666
25,201,611,CLEAR,1,0.12437810945273632
18,187,612,CLEAR,1,9.6256684491978606E-2
15,194,613,CLEAR,1,7.7319587628865982E-2
22,195,614,CLEAR,1,0.11282051282051282
32,211,621,CLEAR,1,0.15165876777251186
48,466,622,CLEAR,1,0.10300429184549356
52,548,623,CLEAR,1,9.4890510948905105E-2
41,341,624,CLEAR,1,0.12023460410557185
19,166,631,CLEAR,1,0.1144578313253012
44,508,632,CLEAR,1,8.6614173228346455E-2
2,109,633,CLEAR,1,0.01834862385321101
20,231,634,CLEAR,1,8.6580086580086577E-2
31,232,711,CLEAR,1,0.1336206896551724
8,161,712,CLEAR,1,4.9689440993788817E-2
25,152,713,CLEAR,1,0.16447368421052633
16,117,714,CLEAR,1,0.13675213675213677
11,113,715,CLEAR,1,9.7345132743362831E-2
25,209,722,CLEAR,1,0.11961722488038277
12,138,723,CLEAR,1,8.6956521739130432E-2
11,91,724,CLEAR,1,0.12087912087912088
36,192,725,CLEAR,1,0.1875
13,95,726,CLEAR,1,0.1368421052631579
33,226,731,CLEAR,1,0.14601769911504425
11,96,732,CLEAR,1,0.11458333333333333
13,156,733,CLEAR,1,8.3333333333333329E-2
18,115,734,CLEAR,1,0.15652173913043479
26,157,735,CLEAR,1,0.16560509554140126
40,437,811,CLEAR,1,9.1533180778032033E-2
9,188,812,CLEAR,1,4.7872340425531915E-2
65,792,813,CLEAR,1,8.2070707070707072E-2
21,350,814,CLEAR,1,5.9999999999999998E-2
49,781,815,CLEAR,1,6.2740076824583865E-2
51,517,821,CLEAR,1,9.8646034816247577E-2
56,499,822,CLEAR,1,0.11222444889779559
40,536,823,CLEAR,1,7.4626865671641784E-2
20,352,824,CLEAR,1,5.6818181818181816E-2
12,174,825,CLEAR,1,6.8965517241379309E-2
29,236,831,CLEAR,1,0.1228813559322034
18,247,832,CLEAR,1,0.0728744939271255
74,623,833,CLEAR,1,0.1187800963081862
65,564,834,CLEAR,1,0.11524822695035461
36,376,835,CLEAR,1,9.5744680851063829E-2
61,379,911,CLEAR,1,0.16094986807387862
36,335,912,CLEAR,1,0.10746268656716418
20,163,913,CLEAR,1,0.12269938650306748
43,322,914,CLEAR,1,0.13354037267080746
26,224,915,CLEAR,1,0.11607142857142858
35,243,921,CLEAR,1,0.1440329218106996
39,397,922,CLEAR,1,9.8236775818639793E-2
30,272,923,CLEAR,1,0.11029411764705882
23,235,924,CLEAR,1,9.7872340425531917E-2
13,168,925,CLEAR,1,7.7380952380952384E-2
16,145,931,CLEAR,1,0.1103448275862069
9,100,932,CLEAR,1,8.9999999999999997E-2
12,68,933,CLEAR,1,0.17647058823529413
6,74,934,CLEAR,1,8.1081081081081086E-2
9,193,935,CLEAR,1,4.6632124352331605E-2
16,165,1011,CLEAR,1,0.09696969696969697
19,144,1012,CLEAR,1,0.13194444444444445
41,315,1013,CLEAR,1,0.13015873015873017
18,160,1014,CLEAR,1,0.1125
8,91,1021,CLEAR,1,8.7912087912087919E-2
15,232,1022,CLEAR,1,6.4655172413793108E-2
17,223,1023,CLEAR,1,0.07623318385650224
16,115,1024,CLEAR,1,0.1391304347826087
40,347,1031,CLEAR,1,0.11527377521613832
16,171,1032,CLEAR,1,9.3567251461988299E-2
23,265,1033,CLEAR,1,8.6792452830188674E-2
42,415,1034,CLEAR,1,0.10120481927710843
28,331,1111,CLEAR,1,8.4592145015105744E-2
21,233,1112,CLEAR,1,0.09012875536480687
35,354,1113,CLEAR,1,9.8870056497175146E-2
13,130,1114,CLEAR,1,0.10000000000000001
16,162,1115,CLEAR,1,9.8765432098765427E-2
20,216,1121,CLEAR,1,9.2592592592592587E-2
34,322,1122,CLEAR,1,0.10559006211180125
7,143,1123,CLEAR,1,4.8951048951048952E-2
7,114,1124,CLEAR,1,6.1403508771929821E-2
4,92,1125,CLEAR,1,4.3478260869565216E-2
20,281,1131,CLEAR,1,7.1174377224199295E-2
23,220,1132,CLEAR,1,0.10454545454545454
34,320,1133,CLEAR,1,0.10625
21,168,1134,CLEAR,1,0.125
6,153,1135,CLEAR,1,3.9215686274509803E-2
20,185,1211,CLEAR,1,0.10810810810810811
14,196,1212,CLEAR,1,7.1428571428571425E-2
11,324,1213,CLEAR,1,3.3950617283950615E-2
25,573,1214,CLEAR,1,4.3630017452006981E-2
14,341,1215,CLEAR,1,4.1055718475073312E-2
32,343,1221,CLEAR,1,9.3294460641399415E-2
27,268,1222,CLEAR,1,0.10074626865671642
32,335,1223,CLEAR,1,9.5522388059701493E-2
27,557,1224,CLEAR,1,4.8473967684021541E-2
22,328,1225,CLEAR,1,6.7073170731707321E-2
47,600,1231,CLEAR,1,7.8333333333333338E-2
61,798,1232,CLEAR,1,7.6441102756892226E-2
24,343,1233,CLEAR,1,6.9970845481049565E-2
30,293,1234,CLEAR,1,0.10238907849829351
22,435,1235,CLEAR,1,0.05057471264367816
37,362,1411,CLEAR,1,0.10220994475138122
20,210,1412,CLEAR,1,9.5238095238095233E-2
14,186,1413,CLEAR,1,7.5268817204301078E-2
12,236,1414,CLEAR,1,5.0847457627118647E-2
7,186,1421,CLEAR,1,3.7634408602150539E-2
22,146,1422,CLEAR,1,0.15068493150684931
16,140,1423,CLEAR,1,0.11428571428571428
25,297,1424,CLEAR,1,8.4175084175084181E-2
10,234,1431,CLEAR,1,4.2735042735042736E-2
45,493,1432,CLEAR,1,9.1277890466531439E-2
24,424,1433,CLEAR,1,5.6603773584905662E-2
17,254,1434,CLEAR,1,6.6929133858267723E-2
17,188,1511,CLEAR,1,9.0425531914893623E-2
7,178,1512,CLEAR,1,3.9325842696629212E-2
22,365,1513,CLEAR,1,6.0273972602739728E-2
24,302,1522,CLEAR,1,7.9470198675496692E-2
22,196,1523,CLEAR,1,0.11224489795918367
20,194,1524,CLEAR,1,0.10309278350515463
