beat_id,day_unit_count,night_unit_count,day_night_crash_index

111,2609,365,7.1479452054794521
112,1986,310,6.4064516129032256
113,1320,189,6.9841269841269842
114,5119,1241,4.1248992747784046
121,2730,475,5.7473684210526317
122,5465,901,6.0654827968923417
123,3115,579,5.3799654576856648
124,2692,370,7.275675675675676
131,2990,567,5.2733686067019399
132,2729,701,3.8930099857346647
133,1121,259,4.3281853281853282
211,1111,346,3.2109826589595376
212,907,245,3.7020408163265306
213,962,265,3.6301886792452831
214,521,164,3.1768292682926829
215,744,210,3.5428571428571427
221,515,134,3.8432835820895521
222,1330,357,3.7254901960784315
223,772,152,5.0789473684210522
224,785,217,3.6175115207373274
225,984,309,3.1844660194174756
231,546,150,3.6400000000000001
232,453,182,2.4890109890109891
233,927,248,3.7379032258064515
234,1634,256,6.3828125
235,1079,208,5.1875
311,646,232,2.7844827586206895
312,1546,436,3.5458715596330275
313,689,194,3.5515463917525771
314,786,185,4.2486486486486488
321,1553,440,3.5295454545454548
322,1391,457,3.0437636761487963
323,1912,577,3.3136915077989602
324,1547,416,3.71875
331,2937,1137,2.5831134564643801
332,1438,495,2.9050505050505051
333,840,362,2.3204419889502761
334,1108,382,2.9005235602094239
411,2154,540,3.9888888888888889
412,2050,445,4.606741573033708
413,1762,397,4.4382871536523929
414,1237,384,3.2213541666666665
421,774,314,2.4649681528662422
422,327,128,2.5546875
423,1043,300,3.4766666666666666
424,619,133,4.6541353383458643
431,1392,299,4.655518394648829
432,1332,377,3.53315649867374
433,812,265,3.0641509433962266
434,771,323,2.3869969040247678
511,2198,511,4.3013698630136989
512,790,293,2.696245733788396
513,1038,245,4.2367346938775512
522,431,152,2.8355263157894739
523,875,283,3.0918727915194348
524,1039,273,3.8058608058608057
531,893,180,4.9611111111111112
532,652,240,2.7166666666666668
533,495,211,2.3459715639810428
611,1087,263,4.1330798479087454
612,1176,315,3.7333333333333334
613,978,306,3.1960784313725492
614,1274,303,4.2046204620462042
621,1370,378,3.6243386243386242
622,2441,352,6.9346590909090908
623,2270,786,2.8880407124681935
624,1700,493,3.4482758620689653
631,1033,288,3.5868055555555554
632,2760,561,4.9197860962566846
633,595,170,3.5
634,1126,294,3.8299319727891157
711,960,361,2.6592797783933517
712,773,243,3.1810699588477367
713,818,240,3.4083333333333332
714,696,212,3.2830188679245285
715,597,149,4.0067114093959733
722,811,215,3.7720930232558141
723,849,171,4.9649122807017543
724,556,194,2.865979381443299
725,998,254,3.9291338582677167
726,564,159,3.5471698113207548
731,968,349,2.7736389684813751
732,500,205,2.4390243902439024
733,716,237,3.0210970464135021
734,631,216,2.9212962962962963
735,1205,300,4.0166666666666666
811,2618,614,4.2638436482084687
812,1176,347,3.3890489913544668
813,4311,1153,3.738941890719861
814,1931,516,3.7422480620155039
815,4120,1072,3.8432835820895521
821,2510,707,3.55021216407355
822,2867,823,3.4835965978128796
823,2730,696,3.9224137931034484
824,1776,543,3.270718232044199
825,1140,328,3.475609756097561
831,1416,476,2.9747899159663866
832,1494,381,3.9212598425196852
833,3577,807,4.4324659231722432
834,3137,706,4.4433427762039663
835,2348,550,4.2690909090909095
911,1954,604,3.2350993377483444
912,2082,575,3.6208695652173915
913,1106,304,3.638157894736842
914,2167,423,5.122931442080378
915,1321,321,4.1152647975077885
921,1234,363,3.3994490358126721
922,1912,546,3.5018315018315018
923,1572,472,3.3305084745762712
